"subjectnumber"	"activityname"	"featurename"	"featurevalue"
21	"LAYING"	"tBodyAcc-mean()-X"	0.29251417
25	"LAYING"	"tBodyGyroJerkMag-std()"	-0.99759553
12	"LAYING"	"tBodyAccJerkMag-mean()"	-0.9378174
3	"STANDING"	"fBodyGyro-std()-X"	-0.75222365
2	"WALKING_DOWNSTAIRS"	"tGravityAccMag-std()"	0.15923385
30	"LAYING"	"fBodyAccJerk-std()-Y"	-0.97056223
24	"SITTING"	"fBodyAccJerk-mean()-X"	-0.98911833
3	"SITTING"	"fBodyAccJerk-mean()-Z"	-0.9898098
19	"WALKING"	"tBodyAcc-mean()-Y"	-0.0039986694
6	"STANDING"	"tBodyAccJerk-std()-Z"	-0.9085117
18	"SITTING"	"tBodyAcc-std()-Z"	-0.9929999
28	"STANDING"	"tBodyAccJerk-mean()-Z"	-0.13435314
23	"WALKING_DOWNSTAIRS"	"tBodyGyroJerk-mean()-Z"	0.032370193
18	"WALKING"	"fBodyAccJerk-std()-X"	-0.36872184
14	"LAYING"	"tBodyGyro-mean()-Y"	-0.23932263
7	"LAYING"	"tGravityAccMag-std()"	-0.96544755
23	"LAYING"	"tBodyAccMag-mean()"	-0.76214113
26	"LAYING"	"fBodyAcc-std()-X"	-0.98208639
18	"SITTING"	"tGravityAcc-std()-X"	-0.94780167
23	"LAYING"	"fBodyGyro-std()-X"	-0.97575329
18	"WALKING_UPSTAIRS"	"tBodyAccJerk-std()-X"	-0.54878525
20	"SITTING"	"tGravityAcc-std()-Y"	-0.95727014
17	"LAYING"	"tBodyAcc-std()-Z"	-0.97403137
26	"WALKING_DOWNSTAIRS"	"tBodyGyroJerk-mean()-X"	0.14806165
8	"WALKING_UPSTAIRS"	"fBodyAcc-mean()-X"	-0.29892537
17	"WALKING_UPSTAIRS"	"fBodyGyro-std()-Z"	-0.41847218
26	"WALKING_UPSTAIRS"	"tGravityAcc-std()-Z"	-0.89640289
20	"LAYING"	"tBodyGyroJerk-std()-Y"	-0.98505914
27	"STANDING"	"fBodyBodyGyroMag-std()"	-0.98214782
30	"WALKING"	"tGravityAcc-mean()-Z"	-0.025352145
15	"LAYING"	"fBodyAcc-std()-X"	-0.98586252
30	"WALKING_UPSTAIRS"	"fBodyGyro-std()-Z"	-0.10882903
18	"WALKING_UPSTAIRS"	"fBodyGyro-mean()-X"	-0.41680301
21	"WALKING"	"tBodyAcc-mean()-Z"	-0.080695611
20	"WALKING_DOWNSTAIRS"	"fBodyAcc-std()-X"	0.25854639
29	"LAYING"	"fBodyGyro-std()-Y"	-0.99593667
24	"WALKING_DOWNSTAIRS"	"tBodyGyroMag-mean()"	-0.40060579
12	"WALKING_DOWNSTAIRS"	"fBodyAccMag-mean()"	0.11221315
13	"SITTING"	"fBodyGyro-mean()-X"	-0.93865672
8	"SITTING"	"fBodyAccJerk-std()-Y"	-0.9741726
3	"STANDING"	"tGravityAcc-mean()-X"	0.94855074
17	"SITTING"	"tBodyAccJerk-mean()-X"	0.080699666
13	"WALKING_UPSTAIRS"	"fBodyAccJerk-std()-Y"	-0.55087995
9	"WALKING_UPSTAIRS"	"fBodyBodyGyroJerkMag-std()"	-0.87080361
13	"STANDING"	"fBodyBodyAccJerkMag-std()"	-0.99505189
6	"SITTING"	"tBodyGyroJerk-std()-Y"	-0.99231265
20	"STANDING"	"tBodyAccJerkMag-std()"	-0.98463598
21	"SITTING"	"tBodyAcc-std()-Z"	-0.89408199
30	"STANDING"	"tGravityAcc-mean()-Y"	-0.18827259
29	"WALKING"	"fBodyAcc-std()-X"	-0.2190785
9	"LAYING"	"tBodyGyroMag-mean()"	-0.97155291
6	"LAYING"	"tGravityAcc-std()-X"	-0.99624036
25	"SITTING"	"tBodyGyro-mean()-Z"	0.10820777
29	"WALKING"	"fBodyAccJerk-std()-Z"	-0.46591842
26	"STANDING"	"tGravityAccMag-std()"	-0.99299566
27	"SITTING"	"fBodyGyro-mean()-Y"	-0.98541624
20	"SITTING"	"fBodyBodyGyroJerkMag-std()"	-0.98821884
20	"STANDING"	"fBodyGyro-mean()-X"	-0.83883554
1	"WALKING"	"tBodyGyro-mean()-Y"	0.13438208
27	"SITTING"	"tBodyGyroJerk-std()-Y"	-0.99648842
29	"WALKING"	"tBodyGyro-std()-Y"	-0.12925149
26	"WALKING_DOWNSTAIRS"	"fBodyBodyGyroJerkMag-mean()"	-0.49148913
19	"LAYING"	"fBodyGyro-std()-X"	-0.97972575
16	"SITTING"	"fBodyGyro-mean()-Z"	-0.99268823
15	"WALKING"	"tBodyAccJerk-std()-X"	-0.36138113
20	"SITTING"	"fBodyBodyAccJerkMag-mean()"	-0.98602816
19	"SITTING"	"fBodyAcc-std()-Y"	-0.9685053
16	"STANDING"	"tBodyGyroJerkMag-std()"	-0.99105273
26	"LAYING"	"tBodyGyro-std()-X"	-0.99656378
12	"SITTING"	"fBodyBodyGyroMag-std()"	-0.9761538
25	"LAYING"	"fBodyAccJerk-std()-X"	-0.99585782
16	"LAYING"	"tGravityAcc-std()-Z"	-0.98115185
29	"STANDING"	"fBodyBodyGyroJerkMag-mean()"	-0.99329753
23	"STANDING"	"tBodyGyro-mean()-X"	-0.049140282
9	"SITTING"	"tBodyAcc-std()-X"	-0.94470146
2	"LAYING"	"fBodyAccJerk-mean()-X"	-0.99167148
7	"SITTING"	"fBodyAccJerk-mean()-X"	-0.97091115
28	"SITTING"	"fBodyBodyGyroMag-mean()"	-0.98342935
4	"LAYING"	"fBodyAcc-std()-X"	-0.98616304
2	"WALKING_DOWNSTAIRS"	"fBodyBodyGyroJerkMag-mean()"	-0.69065951
9	"WALKING_DOWNSTAIRS"	"fBodyAccJerk-std()-Z"	-0.26544373
27	"WALKING_UPSTAIRS"	"tGravityAcc-mean()-Z"	-0.45144027
21	"LAYING"	"fBodyGyro-std()-X"	-0.92937671
6	"WALKING"	"fBodyAccJerk-mean()-Y"	0.0042718503
4	"STANDING"	"tBodyAccJerk-std()-X"	-0.98890494
17	"WALKING_DOWNSTAIRS"	"fBodyBodyGyroJerkMag-mean()"	-0.3267904
13	"STANDING"	"fBodyAccJerk-std()-Y"	-0.99157757
26	"SITTING"	"tBodyAccJerk-std()-Z"	-0.99254118
6	"LAYING"	"tBodyGyro-std()-X"	-0.97451851
2	"SITTING"	"tBodyAccMag-std()"	-0.99001835
1	"WALKING"	"fBodyAccJerk-mean()-Y"	0.014085307
30	"LAYING"	"tGravityAcc-std()-X"	-0.99597853
30	"SITTING"	"fBodyBodyGyroMag-mean()"	-0.9900004
5	"WALKING"	"fBodyAcc-mean()-Y"	-0.04187606
2	"WALKING"	"fBodyBodyAccJerkMag-std()"	0.035875496
1	"WALKING_UPSTAIRS"	"fBodyGyro-std()-Z"	-0.65269888
4	"LAYING"	"fBodyAccJerk-std()-Z"	-0.99064536
11	"LAYING"	"fBodyBodyGyroMag-std()"	-0.98861278
6	"SITTING"	"tBodyGyroJerkMag-mean()"	-0.97739437
24	"SITTING"	"tBodyAcc-mean()-Y"	-0.019427979
13	"WALKING_DOWNSTAIRS"	"tBodyAccJerk-std()-Y"	-0.18296089
20	"WALKING_DOWNSTAIRS"	"tBodyAcc-mean()-Y"	0.019176227
1	"WALKING_UPSTAIRS"	"fBodyGyro-std()-Y"	0.39640669
25	"SITTING"	"tGravityAcc-std()-Z"	-0.97626813
28	"LAYING"	"fBodyAccMag-mean()"	-0.97302192
5	"WALKING"	"fBodyBodyGyroMag-std()"	-0.57123371
19	"SITTING"	"fBodyAcc-mean()-Z"	-0.96791395
28	"SITTING"	"tBodyAccJerkMag-std()"	-0.91211269
11	"SITTING"	"tGravityAcc-std()-X"	-0.99915107
25	"LAYING"	"tBodyGyroJerk-std()-Y"	-0.97885947
30	"SITTING"	"tBodyGyroJerkMag-mean()"	-0.99214349
5	"WALKING"	"fBodyAcc-std()-X"	-0.33619368
12	"STANDING"	"fBodyGyro-mean()-X"	-0.98511948
29	"WALKING"	"fBodyGyro-mean()-X"	-0.38098306
24	"STANDING"	"tBodyAccJerk-std()-X"	-0.95031254
15	"STANDING"	"tBodyGyroJerk-std()-Z"	-0.95102547
27	"LAYING"	"tGravityAccMag-std()"	-0.92746697
29	"WALKING_UPSTAIRS"	"fBodyGyro-mean()-Z"	-0.43533291
21	"WALKING"	"tBodyAccJerk-mean()-Z"	-0.014176277
12	"WALKING_DOWNSTAIRS"	"tGravityAcc-std()-X"	-0.9698693
16	"WALKING"	"fBodyAccJerk-mean()-X"	-0.40483153
28	"SITTING"	"tBodyGyroJerk-std()-Y"	-0.95934064
25	"SITTING"	"fBodyAccJerk-std()-Y"	-0.99495371
4	"LAYING"	"fBodyBodyAccJerkMag-std()"	-0.98008882
1	"SITTING"	"fBodyAccJerk-std()-Y"	-0.98495497
11	"LAYING"	"fBodyGyro-std()-Y"	-0.99895136
26	"SITTING"	"fBodyGyro-std()-Y"	-0.98969738
18	"LAYING"	"fBodyAccJerk-mean()-Y"	-0.97605397
